Provinsi,2016,2019,2020
ACEH,88,93,91
SUMATERA UTARA,193,200,203
SUMATERA BARAT,125,130,132
RIAU,75,80,73
JAMBI,69,72,71
SUMATERA SELATAN,89,92,92
BENGKULU,96,100,101
LAMPUNG,237,244,260
KEP. BANGKA BELITUNG,85,91,89
KEP. RIAU,247,267,252
DKI JAKARTA,15478,15900,15907
JAWA BARAT,1339,1394,1365
JAWA TENGAH,1037,1058,1113
DI YOGYAKARTA,1188,1227,1171
JAWA TIMUR,817,831,851
BANTEN,1263,1338,1232
BALI,727,750,747
NUSA TENGGARA BARAT,264,273,286
NUSA TENGGARA TIMUR,107,112,109
KALIMANTAN BARAT,33,34,37
KALIMANTAN TENGAH,17,18,17
KALIMANTAN SELATAN,105,110,105
KALIMANTAN TIMUR,27,29,29
KALIMANTAN UTARA,9,10,9
SULAWESI UTARA,176,181,189
SULAWESI TENGAH,47,49,48
SULAWESI SELATAN,184,189,194
SULAWESI TENGGARA,67,71,69
GORONTALO,102,107,104
SULAWESI BARAT,78,82,85
MALUKU,37,38,39
MALUKU UTARA,37,39,40
PAPUA BARAT,9,9,11
PAPUA BARAT DAYA,-,-,-
PAPUA,10,11,13
PAPUA SELATAN,-,-,-
PAPUA TENGAH,-,-,-
PAPUA PEGUNUNGAN,-,-,-
